Time stamp, File name, Build version, Zone tolerance, lambda (nm), P (um), Q (um), Obscuration sigma, NA, Zernikes, Custom mask index, ZP tilt (rad), Azimuthal (deg), CRA (deg), Anamorphic fac, ZPC phase (deg), ZPC apodization, Ap function, ZPC inner rad, ZPC outer rad, Zone bias (nm), File format, Tone reversal, Buttressing, Buttress width, Buttress period, Off-axis centering, WRV blocksize, Multiple patterning N, Multiple patterning i, Layer number, Curl on, Exec string
2019-02-13 20:08:45,Small_zp,ZPGen v2.7, 0.0100,13.5000,10000000000.0000,500.0000,0.0000,0.0500,0,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0,0.0000,0.0000,12.0000,1,0,0,0.6000,6.0000,1,1000000,1,1,1,0 ,./src/bin/ZPGen  0.0100  13.5000  10000000000.0000  500.0000  0.0000  0.0500  0  0.0000  0.0000  0.0000  0.0000  1.0000  0.0000  1.0000  0  0.0000  0.0000  12.0000  1  0  0  0.6000  6.0000  1  1000000  1  1  1  0 src/ZPFiles/Small_zp
2019-02-13 20:12:53,Small_zp,ZPGen v2.7, 0.0100,13.5000,10000000000.0000,500.0000,0.0000,0.0500,0,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0,0.0000,0.0000,12.0000,1,0,0,0.6000,6.0000,1,1000000,1,1,1,0 ,src/bin/ZPGen.exe  0.0100  13.5000  10000000000.0000  500.0000  0.0000  0.0500  0  0.0000  0.0000  0.0000  0.0000  1.0000  0.0000  1.0000  0  0.0000  0.0000  12.0000  1  0  0  0.6000  6.0000  1  1000000  1  1  1  0 src/ZPFiles/Small_zp
2019-02-13 20:13:28,Small_zp,ZPGen v2.7, 0.0100,13.5000,10000000000.0000,500.0000,0.0000,0.0500,0,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0,0.0000,0.0000,12.0000,1,0,0,0.6000,6.0000,1,1000000,1,1,1,0 ,"src\bin\ZPGen.exe"  0.0100  13.5000  10000000000.0000  500.0000  0.0000  0.0500  0  0.0000  0.0000  0.0000  0.0000  1.0000  0.0000  1.0000  0  0.0000  0.0000  12.0000  1  0  0  0.6000  6.0000  1  1000000  1  1  1  0 src/ZPFiles/Small_zp
2019-02-13 20:13:53,Small_zp,ZPGen v2.7, 0.0100,13.5000,10000000000.0000,500.0000,0.0000,0.0500,0,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0,0.0000,0.0000,12.0000,1,0,0,0.6000,6.0000,1,1000000,1,1,1,0 ,"src\bin\ZPGen.exe"  0.0100  13.5000  10000000000.0000  500.0000  0.0000  0.0500  0  0.0000  0.0000  0.0000  0.0000  1.0000  0.0000  1.0000  0  0.0000  0.0000  12.0000  1  0  0  0.6000  6.0000  1  1000000  1  1  1  0 src/ZPFiles/Small_zp
2019-02-13 20:20:39,Small_zp,ZPGen v2.7, 0.0010,13.5000,10000000000.0000,500.0000,0.0000,0.0500,0,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0,0.0000,0.0000,12.0000,1,0,0,0.6000,6.0000,1,1000000,1,1,1,0 ,C:\Users\metmatlab\Documents\MATLAB\rhmiyakawa-dev\zp-generator-matlab\src\bin\ZPGen.exe  0.0010  13.5000  10000000000.0000  500.0000  0.0000  0.0500  0  0.0000  0.0000  0.0000  0.0000  1.0000  0.0000  1.0000  0  0.0000  0.0000  12.0000  1  0  0  0.6000  6.0000  1  1000000  1  1  1  0 src\ZPFiles\Small_zp
2019-02-13 20:20:45,Small_zp,ZPGen v2.7, 0.0010,13.5000,10000000000.0000,500.0000,0.0000,0.0500,0,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0,0.0000,0.0000,12.0000,1,0,0,0.6000,6.0000,1,1000000,1,1,1,0 ,C:\Users\metmatlab\Documents\MATLAB\rhmiyakawa-dev\zp-generator-matlab\src\bin\ZPGen.exe  0.0010  13.5000  10000000000.0000  500.0000  0.0000  0.0500  0  0.0000  0.0000  0.0000  0.0000  1.0000  0.0000  1.0000  0  0.0000  0.0000  12.0000  1  0  0  0.6000  6.0000  1  1000000  1  1  1  0 src\ZPFiles\Small_zp
2019-02-13 20:21:22,Small_zp,ZPGen v2.7, 0.0010,13.5000,10000000000.0000,500.0000,0.0000,0.0500,0,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0,0.0000,0.0000,12.0000,1,0,0,0.6000,6.0000,1,1000000,1,1,1,0 ,C:\Users\metmatlab\Documents\MATLAB\rhmiyakawa-dev\zp-generator-matlab\src\bin\ZPGen.exe  0.0010  13.5000  10000000000.0000  500.0000  0.0000  0.0500  0  0.0000  0.0000  0.0000  0.0000  1.0000  0.0000  1.0000  0  0.0000  0.0000  12.0000  1  0  0  0.6000  6.0000  1  1000000  1  1  1  0 src\ZPFiles\Small_zp
2019-02-13 20:31:25,Small_zp,ZPGen v2.7, 0.0010,13.5000,10000000000.0000,500.0000,0.0000,0.0500,0,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0,0.0000,0.0000,12.0000,1,0,0,0.6000,6.0000,1,1000000,1,1,1,0 ,C:\Users\metmatlab\Documents\MATLAB\rhmiyakawa-dev\zp-generator-matlab\src\bin\ZPGen.exe  0.0010  13.5000  10000000000.0000  500.0000  0.0000  0.0500  0  0.0000  0.0000  0.0000  0.0000  1.0000  0.0000  1.0000  0  0.0000  0.0000  12.0000  1  0  0  0.6000  6.0000  1  1000000  1  1  1  0 Small_zp & move Small_zp.* ..\ZPFiles
2019-02-13 20:32:03,Small_zp,ZPGen v2.7, 0.0010,13.5000,10000000000.0000,500.0000,0.0000,0.0500,0,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0,0.0000,0.0000,12.0000,1,0,0,0.6000,6.0000,1,1000000,1,1,1,0 ,C:\Users\metmatlab\Documents\MATLAB\rhmiyakawa-dev\zp-generator-matlab\src\bin\ZPGen.exe  0.0010  13.5000  10000000000.0000  500.0000  0.0000  0.0500  0  0.0000  0.0000  0.0000  0.0000  1.0000  0.0000  1.0000  0  0.0000  0.0000  12.0000  1  0  0  0.6000  6.0000  1  1000000  1  1  1  0 Small_zp & move Small_zp.* ..\ZPFiles
2019-02-13 20:32:39,Small_zp,ZPGen v2.7, 0.0010,13.5000,10000000000.0000,500.0000,0.0000,0.0500,0,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0,0.0000,0.0000,12.0000,1,0,0,0.6000,6.0000,1,1000000,1,1,1,0 ,C:\Users\metmatlab\Documents\MATLAB\rhmiyakawa-dev\zp-generator-matlab\src\bin\ZPGen.exe  0.0010  13.5000  10000000000.0000  500.0000  0.0000  0.0500  0  0.0000  0.0000  0.0000  0.0000  1.0000  0.0000  1.0000  0  0.0000  0.0000  12.0000  1  0  0  0.6000  6.0000  1  1000000  1  1  1  0 Small_zp & move Small_zp.* src\ZPFiles
